sce00020,sce:YCR005C,0.126282121306
sce00020,sce:YNR001C,0.732643560422
sce00020,sce:YPR001W,0.451466310516
sce00020,sce:YJL200C,0.63541088878
sce00020,sce:YLR304C,0.99295145
sce00020,sce:YDL066W,0.40439728
sce00020,sce:YLR174W,0.05577158
sce00020,sce:YNL009W,-0.00512768
sce00020,sce:YNL037C,-0.009829835
sce00020,sce:YOR136W,-0.0105694425
sce00020,sce:YIL125W,-0.073292736
sce00020,sce:YDR148C,-0.0824123155
sce00020,sce:YFL018C,-0.1188298785
sce00020,sce:YPL017C,-0.16608246
sce00020,sce:YOR142W,-0.176978575
sce00020,sce:YGR244C,-0.19992882
sce00020,sce:YJL045W,-0.204845855
sce00020,sce:YKL148C,-0.21915612
sce00020,sce:YLL041C,-0.31028077
sce00020,sce:YKL141W,-0.36385778
sce00020,sce:YMR118C,-0.395288945
sce00020,sce:YDR178W,-0.445851045
sce00020,sce:YLR164W,-0.5888895
sce00020,sce:YPL262W,-0.661216825
sce00020,sce:YDL078C,-0.71104802
sce00020,sce:YKL085W,-0.7999518
sce00020,sce:YOL126C,-0.917283815
sce00020,sce:YBR218C,-1.15018325
sce00020,sce:YGL062W,-1.1984591
sce00020,sce:YKR097W,-1.201108635
sce00020,sce:YER178W,-1.2204865
sce00020,sce:YBR221C,-1.2881127
sce00020,sce:YNL071W,-1.3491777
